Partei,lfdnr,familienname,vorname,titel,Geb.,Beruf,PLZ,ORT,LPL,RPL
NEOS,300,Schwarzer,Johannes,Mag.,1961,Kaufmann,9900,Lienz,7,7E
NEOS,301,Seidl,Heidi,\N,1978,Wirtschtaftsinformatikern,5400,Hallein,5,5B
NEOS,302,Seifriedsberger,Erwin,\N,1961,Unternehmer,4910,Ried im Innkreis,4,4B
NEOS,303,Skalitzky,Patrick,\N,1991,Student,2380,Perchtoldsdorf,3,3F
NEOS,304,Smrtnik,Bernard,\N,1987,Angestellter,9135,Vellach,2,2D
NEOS,305,Sonderer,Roman,\N,1973,Bankangestellter,7122,Gols,1,1A
NEOS,306,Sonnenschein,Udo,"Ing., BA",1973,Technischer Angestellter,7000,Eisenstadt,1,1A
NEOS,307,Stauder,Wolfgang,\N,1972,Unternehmer,9584,Finkenstein,2,2B
NEOS,308,Steinberger,Michael,\N,1964,Vertragsbediensteter,9201,Krumpendorf,\N,2A
NEOS,309,Steiner,Josef,\N,1962,Bergbauer,6370,Kitzbühel,\N,7C
NEOS,310,Stemberger,Anton,\N,1973,Beamter,6020,Innsbruck,\N,7A
NEOS,311,Stich,Christian,\N,1993,Oberflächentechniker,2183,Sankt Ulrich,3,3A
NEOS,312,Streb,Florian,Mag. (FH),1985,Angestellter,2353,Guntramsdorf,3,3F
NEOS,313,Streitenberger,Raimund,MSc,1987,Angestellter,1090,Wien,3,3D
NEOS,314,Strohmeier,Franz,Mag.,1967,EDV-Berater,8530,Frauental,6,6C
NEOS,315,Suder,Marcin,BA,1982,"Unternehmer, Musiker",1220,Wien,9,9G
NEOS,316,Teufel,Franziska,\N,1995,Studentin,2320,Schwechat,3,3G
NEOS,317,Tieber,Michael,\N,1988,Universitätsassistent,8010,Graz,6,6A
NEOS,318,Tilg,Martin,\N,1998,Zivildiener,6500,Landeck,\N,7D
NEOS,319,Tilg,Johannes,\N,1997,Versicherungskaufmann,6500,Landeck,7,7D
NEOS,320,Uitz,Martina,"Mag. (FH), MA",1982,Marketing Manager,1190,Wien,9,9F
NEOS,321,Unterdorfer-Morgenstern,Markus,Mag.,1972,Unternehmer,9871,Seeboden,2,2C
NEOS,322,Unterweger,Julian,\N,1995,Student,8010,Graz,6,\N
NEOS,323,Valenta,Anton,\N,1952,Tischlermeister,1100,Wien,\N,9D
NEOS,324,Vojtisek-Stuntner,Ulrike,\N,1959,Unternehmerin,3712,Maissau,3,3B
NEOS,325,Vonbank,Herbert,Dr.,1960,Facharzt,6763,Lech,\N,8B
NEOS,326,Wachter,Stefan,\N,1998,Schüler,6094,Axams,\N,7B
NEOS,327,Wagner,Michael Alexander,Bakk.,1981,Angestellter,1090,Wien,9,9B
NEOS,328,Waldl,Andrea,\N,1968,Unternehmerin,2732,Willendorf,3,3E
NEOS,329,Weingartshofer,Philipp,Mag.,1982,Lehrsanitäter,2120,Obersdorf,3,3A
NEOS,330,Weitgasser,Elisabeth,\N,1963,Unternehmerin,5541,Altenmarkt,5,5C
NEOS,331,Wessely,Franz,\N,1930,Pensionist,9800,Spittal,2,2C
NEOS,332,Wessner,Helmut,Ing.,1955,Angestellter,6370,Kitzbühel,7,7C
NEOS,333,Widerin,Hans,Dr.,1941,Rechtsanwalt,6714,Nüziders,\N,8B
NEOS,334,Wieser,Karl-Armin,\N,1950,Pensionist,5301,Eugendorf,5,5B
NEOS,335,Windberger,Günter,Ing. MMag.,1955,Wirtschaftspädagoge,8010,Graz,6,\N
NEOS,336,Windbichler,Bernhard,Mag.,1972,Angestellter,6020,Innsbruck,\N,7A
NEOS,337,Wolschner,Boris,\N,1978,Angestellter,9020,Klagenfurt,2,2A
NEOS,338,Wrulich,Christoph,\N,1980,Angestellter,9800,Spittal,\N,2C
NEOS,339,Wurzer,Bernhard,Dr.,1954,Zahnarzt,6020,Innsbruck,7,7C
NEOS,340,Zainzinger,Bernhard,\N,1981,Unternehmer,7033,Pöttsching,1,1A
NEOS,341,Zajelsnig,Thomas,\N,1974,Unternehmer,8330,Feldbach,6,6B
NEOS,342,Zimmermann,Konrad,Dipl.-Ing.,1955,Unternehmer,2511,Pfaffstätten,3,3F
NEOS,343,Zinnauer,Gabriele,Mag. Dr.,1968,Unternehmer,9220,Velden,2,2B
NEOS,344,Zobl,Angele,Mag.,1960,Angestellte,5020,Salzburg,5,5A
