Partei,Lfd. Nr.,Familienname,Vorname,Titel,Geb. Jahr,Beruf,PLZ,Ort,LPL,RPL
FPÖ,268,Pleininger,Renate,\N,1953,Gemeinderätin,5020,Salzburg,\N,5A
FPÖ,269,Aichbichler,Elmar,Mag.,1978,Jurist und Forstwirt,9063,Maria Saal,2,\N
FPÖ,270,Lengauer,Michael,\N,1987,Beamter,7400,Oberwart,\N,\N
FPÖ,271,Platzer,Alexander,MMag.,1963,Bundesheer,1230,Wien,9,\N
FPÖ,272,Nepp,Dominik,\N,1982,Landtagsabgeordneter,1180,Wien,9,\N
FPÖ,273,Scheibenreif,Philipp,\N,1988,Metallbautechniker,4203,Altenberg,4,4E
FPÖ,274,Reifberger,Ingo Michael,\N,1966,Beamter,7093,Jois,\N,\N
FPÖ,275,Sparovic,Ingrid,\N,1942,Pensionistin,8010,Graz,6,6A
FPÖ,276,Steinlechner,Christoph,\N,1983,Projektmanager,6134,Vomp,7,7B
FPÖ,277,Sahanek,Günther,\N,1961,Polizist,1220,Wien,9,\N
FPÖ,278,Unger,Christian Paul,\N,1972,Landtagsabgeordneter,1030,Wien,9,9A
FPÖ,279,Rosenich,Wolfgang,Ing.,1963,Beamter,7000,Eisenstadt,\N,\N
FPÖ,280,Knoll,Gerhard,\N,1982,Produktionsfacharbeiter,4063,Hörsching,4,4A
FPÖ,281,Kruesz,Felix,\N,1958,Beamter,7000,Eisenstadt,\N,\N
FPÖ,282,Royer,Albert,\N,1973,Landwirt,8954,Mitterberg,6,6D
FPÖ,283,Senger,Marion,\N,1975,Rezeptionistin,6465,Nassereith,7,7D
FPÖ,284,Stöllner,Hermann,\N,1985,Angestellter,5201,Seekirchen,\N,5B
FPÖ,285,Irschik,Wolfgang,\N,1959,Beamter,1210,Wien,9,9G
FPÖ,286,Hatzmann,Elisabeth,\N,1957,Ordinationshilfe,4743,Peterskirchen,4,4B
FPÖ,287,Müllner,Christian,\N,1971,Polizeibeamter,7042,Antau,\N,\N
FPÖ,288,Gössler,Helmut,\N,1976,KFZ-Mechaniker,8114,Stübing,6,6A
FPÖ,289,Waneck,Reinhart,Dr.,1945,Arzt,1080,Wien,9,\N
FPÖ,290,Herzog,Johann,\N,1943,Pensionist,1090,Wien,9,\N
FPÖ,291,Günther,Helmut,Dr.,1953,Beamter,1030,Wien,\N,\N
FPÖ,292,Bauer,Holger,Dkfm.,1942,Pensionist,1040,Wien,\N,\N
FPÖ,293,Federspiel,Rudolf,\N,1949,Kaufmann,6080,Igls,7,\N
FPÖ,294,Dillersberger,Siegfried,Dr.,1942,Pensionist,6330,Kufstein,7,\N
FPÖ,295,Stix,Gerulf,Dr.,1935,Pensionist,6070,Ampass,7,\N
FPÖ,296,Weinzinger,Lutz,\N,1943,Pensionist,4780,Schärding,\N,\N
FPÖ,297,Krünes,Helmut,Dipl.-Ing. Dr.,1941,Unternehmer,1130,Wien,\N,\N
FPÖ,298,Ofner,Harald,Dr.,1932,Rechtsanwalt,2340,Mödling,3,\N
FPÖ,299,Haupt,Herbert Ernst,Mag.,1947,Tierarzt in Pension,9800,Spittal an der Drau,\N,\N
FPÖ,300,Kabas,Hilmar,Mag.,1942,Volksanwalt a. D.,1230,Wien,9,\N
